Description,observed_proximity,z_score,pvalue,p.adjust
ABC transporters,2.81818181818182,-1.36738400094137,0.085752487231304,0.151606607259764
AGE-RAGE signaling pathway in diabetic complications,1.95238095238095,-3.18194055557448,0.000731459205799159,0.00257216424017287
AMPK signaling pathway,2.376,-1.33603235793303,0.0907693485942666,0.157859736685681
Acute myeloid leukemia,1.93055555555556,-7.47614852802379,3.82662274670884e-14,9.41937906882176e-13
Adherens junction,2.18055555555556,-1.89562865005293,0.0290045830311027,0.062712611959141
Adipocytokine signaling pathway,2.18918918918919,-2.86785439851801,0.00206632835577684,0.00641966091115135
Adrenergic signaling in cardiomyocytes,2.51700680272109,-1.37170128442999,0.0850782242039115,0.151250176362509
African trypanosomiasis,1.88095238095238,-5.14518145654551,1.33631173485041e-07,1.09646091064649e-06
"Alanine, aspartate and glutamate metabolism",3.04878048780488,1.81870102377025,0.965521472270822,1
Alcoholism,2.23584905660377,-4.70515398237502,1.26837207050061e-06,7.80536658769609e-06
Aldosterone synthesis and secretion,2.5,-1.69454628778349,0.0450807618702577,0.090394495427189
Aldosterone-regulated sodium reabsorption,2.28571428571429,-1.67561459084585,0.046906854477919,0.0932310151113918
Allograft rejection,1.48780487804878,-4.98150537211786,3.15457662613052e-07,2.24325448969281e-06
Alzheimer disease,2.56379821958457,0.478016017950846,0.68368059781975,0.907791665154855
Amino sugar and nucleotide sugar metabolism,3.78846153846154,4.7029282726745,0.999998717717335,1
Aminoacyl-tRNA biosynthesis,3.35483870967742,4.42165512557383,0.999995102614724,1
Amoebiasis,1.93137254901961,-11.0645914957917,9.3154919573907e-29,2.98095742636502e-26
Amphetamine addiction,2.30985915492958,-1.6933204089759,0.0451972477135945,0.090394495427189
Amyotrophic lateral sclerosis,2.7760736196319,4.29619529276192,0.999991312273848,1
Antigen processing and presentation,1.94444444444444,-4.40744320275712,5.22990084978109e-06,2.98851477130348e-05
Apelin signaling pathway,2.35606060606061,-2.01795023760867,0.0217982220912275,0.0500790478464144
Apoptosis,2.31468531468531,-2.16907899011475,0.0150383437359012,0.0361824811690855
Arachidonic acid metabolism,2.18867924528302,-3.7232355066485,9.83429480481323e-05,0.000443235822188765
Arginine and proline metabolism,3.05454545454545,2.78823169961304,0.99735016873742,1
Arginine biosynthesis,2.92592592592593,2.67019477187723,0.996209637043228,1
Arrhythmogenic right ventricular cardiomyopathy,2.61728395061728,0.100097974878949,0.539866728464236,0.741447867418693
Ascorbate and aldarate metabolism,2.42307692307692,-1.76164341275854,0.0390647820908689,0.0816960187341197
Asthma,1.94117647058824,-3.39070514036736,0.000348565299261845,0.00132786780671179
Autoimmune thyroid disease,1.85454545454545,-10.8332867791692,1.19702316902432e-27,1.91523707043892e-25
Autophagy,2.55147058823529,-0.234258034976321,0.407392331384712,0.592570663832309
Axon guidance,2.53072625698324,-1.96663106457856,0.0246128797236434,0.0543180793901095
B cell receptor signaling pathway,1.91358024691358,-5.15689776514814,1.25537398114886e-07,1.08022564957255e-06
Bacterial invasion of epithelial cells,2.21333333333333,-3.37467683364049,0.000369512095211696,0.00135912494790509
Basal cell carcinoma,2.53623188405797,0.305598734673046,0.620044907999866,0.837191436961845
Basal transcription factors,2.77551020408163,2.7118227127963,0.996654281458708,1
Base excision repair,2.87179487179487,1.78919726828123,0.963208474266206,1
Bile secretion,2.45454545454545,-4.36429109057242,6.37678305943947e-06,3.57994838424672e-05
Biosynthesis of unsaturated fatty acids,2.37931034482759,-1.75867681225386,0.0393162090157951,0.0816960187341197
Bladder cancer,2.08695652173913,-1.3809473210841,0.083647579264901,0.150033900730362
Breast cancer,2.33333333333333,-1.81436960383973,0.0348104210807811,0.0732850970121708
Butanoate metabolism,3.05882352941176,0.886156066340145,0.812233282870282,1
C-type lectin receptor signaling pathway,1.9811320754717,-4.76499753411149,9.44279795778248e-07,6.04339069298078e-06
Caffeine metabolism,1.72727272727273,-5.12425966790001,1.49354542902216e-07,1.19483634321773e-06
